PubCHEM,isosmiles
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O
2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
2124,F[Al](F)F
2130,C1C2CC3CC1CC(C2)(C3)N
2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
2132,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
2141,C(CN)CNCCSP(=O)(O)O
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
2146,C(=NN)(N)N
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N
2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
2176,CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3
2178,CCCC1=NC=C(C(=N1)N)C[N+]2=CC=CC=C2C
2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
2181,C1CCNC(C1)C2=CN=CC=C2
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2
2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
2198,CN1C2CC(CC1C(C2)O)OC(=O)C(CO)C3=CC=CC=C3
2200,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2
2214,CC(=O)C1=CC(=C(C=C1)O)OC
2216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
2225,CC1=C(C(C(=C(N1)C)C(=O)OCC(=O)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
2239,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O
2244,CC(=O)OC1=CC=CC=C1C(=O)O
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
2264,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
2266,C(CCCC(=O)O)CCCC(=O)O
2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
